Puzzle number	Algorithm	Heuristic	Length of solution	Length of search path	Execution Time (seconds)
17			UCS		NA		7				526				 2.04
17			GBFS		h1		8				14				 0.05
17			GBFS		h2		8				14				 0.05
17			GBFS		h3		8				14				 0.05
17			GBFS		h4		7				12				 0.04
17			A\A*		h1		7				171				 0.70
17			A\A*		h2		7				171				 0.67
17			A\A*		h3		8				14				 0.05
17			A\A*		h4		7				76				 0.29

18			UCS		NA		16				3950				38.85
18			GBFS		h1		16				2793				27.30
18			GBFS		h2		16				2793				26.76
18			GBFS		h3		16				2793				27.03
18			GBFS		h4		16				2754				26.31
18			A\A*		h1		16				3906				59.06
18			A\A*		h2		16				3906				58.00
18			A\A*		h3		16				3039				41.62
18			A\A*		h4		16				3796				55.89

19			UCS		NA		7				756				 2.66
19			GBFS		h1		8				181				 0.45
19			GBFS		h2		8				181				 0.44
19			GBFS		h3		8				181				 0.45
19			GBFS		h4		7				92				 0.22
19			A\A*		h1		7				507				 2.03
19			A\A*		h2		7				507				 2.04
19			A\A*		h3		8				156				 0.44
19			A\A*		h4		7				362				 1.45

20			UCS		NA		8				500				 1.52
20			GBFS		h1		8				168				 0.48
20			GBFS		h2		8				168				 0.48
20			GBFS		h3		8				168				 0.51
20			GBFS		h4		8				103				 0.29
20			A\A*		h1		8				393				 1.29
20			A\A*		h2		8				393				 1.29
20			A\A*		h3		8				222				 0.74
20			A\A*		h4		8				377				 1.29

21			UCS		NA		9				1423				 7.32
21			GBFS		h1		14				155				 0.49
21			GBFS		h2		14				155				 0.46
21			GBFS		h3		14				155				 0.50
21			GBFS		h4		13				139				 0.40
21			A\A*		h1		9				825				 4.77
21			A\A*		h2		9				825				 4.79
21			A\A*		h3		11				219				 0.71
21			A\A*		h4		9				563				 3.08

22			UCS		NA		6				860				 3.85
22			GBFS		h1		6				55				 0.16
22			GBFS		h2		6				55				 0.20
22			GBFS		h3		6				55				 0.16
22			GBFS		h4		6				20				 0.05
22			A\A*		h1		6				624				 3.28
22			A\A*		h2		6				624				 3.21
22			A\A*		h3		6				63				 0.22
22			A\A*		h4		6				508				 2.77

23			UCS		NA		8				453				 1.29
23			GBFS		h1		8				227				 0.62
23			GBFS		h2		8				227				 0.61
23			GBFS		h3		8				227				 0.62
23			GBFS		h4		8				254				 0.76
23			A\A*		h1		8				432				 1.39
23			A\A*		h2		8				432				 1.39
23			A\A*		h3		8				245				 0.77
23			A\A*		h4		8				362				 1.15

24			UCS		NA		23				7971				159.85
24			GBFS		h1		29				4720				69.60
24			GBFS		h2		29				4720				71.27
24			GBFS		h3		29				4720				70.29
24			GBFS		h4		31				4622				66.43
24			A\A*		h1		23				6795				180.41
24			A\A*		h2		23				6795				178.83
24			A\A*		h3		24				5863				146.10
